,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,129.99998922046979,9.431853456295717e-08,False,Bulk ,5.1965385208197976e-06,-9.437970883804707e-08,False
1,A,128.99997889677633,6.909531526726547e-08,False,Bulk ,6.06350612916088e-06,-6.908770681035287e-08,False
2,A,127.99997784376855,5.0475206915814365e-08,False,Bulk ,5.168571823776537e-06,-5.0552810842038234e-08,False
3,A,127.0000231441892,3.672928900417767e-08,False,Bulk ,4.161770730220886e-06,-3.673892106645111e-08,False
4,A,126.00000354981006,2.6590413696829552e-08,False,Bulk ,-2.1866694985914897e-06,-2.6649773286573508e-08,False
5,A,125.00001176748796,1.9170706121432786e-08,False,Bulk ,-1.263768496165621e-06,-1.912577217437358e-08,False
6,A,124.00000144379449,1.3702404958950877e-08,False,Bulk ,-6.521507540291696e-06,-1.3732131373135694e-08,False
7,A,123.00000039078672,9.745678951577004e-09,False,Bulk ,-6.3257406609897385e-06,-9.672248007801235e-09,False
8,A,122.00000860846463,6.869285336703827e-09,False,Bulk ,-4.144338291618005e-06,-6.8726571096269526e-09,False
9,A,120.99998901408547,4.797389232012363e-09,False,Bulk ,-3.2214372891912688e-06,-4.73796440792183e-09,False
10,A,120.00000650244907,3.329822278583401e-09,False,Bulk ,6.379669027735055e-07,-3.347328870691473e-09,False
11,A,118.99998690806991,2.284972282308284e-09,False,Bulk ,6.37113979663588e-06,-2.2498105128782205e-09,False
12,A,118.00001366711919,1.5415972744586187e-09,False,Bulk ,9.05594271278544e-06,-1.6217995290215095e-09,False
13,A,116.99999407274004,1.040204686097882e-09,False,Bulk ,7.266074102018488e-06,-1.0636638187209444e-09,False
14,A,115.9999744783609,6.959752909129864e-10,False,Bulk ,5.0007716415169726e-06,-7.803873554202478e-10,False
15,A,115.00000123741019,4.6044991526016374e-10,False,Bulk ,2.6236023928432814e-06,-4.708689824757909e-10,False
16,A,113.99999091371672,3.153858430587681e-10,False,Bulk ,-3.6883419078214547e-07,-3.5562738871002724e-10,False
17,A,113.0000084020803,2.152076289801923e-10,False,Bulk ,-5.0952059910871345e-06,-1.6308356582856312e-10,False
18,A,111.99998880770114,1.4073221075406768e-10,False,Bulk ,-8.227476059928865e-06,-1.3801759081506254e-10,False
19,A,110.99998775469338,9.804049374060515e-11,False,Bulk ,-6.493540843249303e-06,-1.4792019822781528e-11,False
20,A,109.99998670168559,5.522339723517981e-11,False,Bulk ,-3.2494039862345295e-06,-6.238642670026347e-11,False
21,A,109.0000041900492,2.9395221890765854e-11,False,Bulk ,-7.603679493869281e-07,3.422588687028428e-11,False
22,A,108.00002167841278,7.140362067303424e-12,False,Bulk ,7.322007496105877e-06,-4.2209864096801614e-11,False
23,A,107.00001135471932,-4.1437922093821246e-12,False,Bulk ,1.1768712325979126e-05,-6.931825188916325e-12,False
24,A,106.00001030171155,-5.6483461129424035e-12,False,Bulk ,1.2356012963886734e-05,-8.367703263765405e-11,False
25,A,104.9999907073324,-5.2095178910676225e-12,False,Bulk ,8.580508863050874e-06,-2.1661953715366825e-11,False
26,A,104.00001746638168,1.1654023777977644e-11,False,Bulk ,1.5329012081578483e-06,-8.200596763675269e-11,False
27,A,102.99999787200252,3.5043568003721493e-12,False,Bulk ,-3.081603803974965e-06,1.0150172598060301e-11,False
28,A,101.99999681899475,1.1340575048068976e-11,False,Bulk ,-3.137537198062354e-06,-3.088375686848156e-11,False
29,A,101.00000503667266,4.155703261119435e-11,False,Bulk ,-1.3848782165618197e-05,6.059157910670667e-11,False
30,A,100.00001325435056,1.3660095649389143e-11,False,Bulk ,-9.597844215047772e-06,1.200691148794813e-11,False
31,A,99.00003074271416,9.083744192731867e-12,False,Bulk ,-4.815539020655395e-06,8.2005967636756e-11,False
32,A,97.99997406559226,-1.3359184868676426e-11,False,Bulk ,-4.312138473877569e-06,2.5684887976794314e-11,False
33,A,97.00001936601292,-7.842487222296456e-12,False,Bulk ,7.517774375407835e-06,5.514514502969862e-11,False
34,A,95.99999977163377,-2.476871863732478e-11,False,Bulk ,1.0733944535379347e-05,-4.808953724811693e-11,False
35,A,94.99996163588324,-1.5302566994104868e-11,False,Bulk ,1.2076345993454127e-05,-8.726672782476434e-12,False
36,A,94.00003474836096,-1.8562433785147728e-11,False,Bulk ,9.307642986174786e-06,-8.40483804156303e-11,False
37,A,93.00003369535317,-1.398608232849376e-11,False,Bulk ,8.80424243939696e-06,-3.917719057665072e-11,False
38,A,92.00002337165971,1.4537752093128779e-11,False,Bulk ,1.4769678140704595e-06,-7.396009911390102e-11,False
39,A,90.99999450659487,1.4036234125277558e-11,False,Bulk ,-6.68930772255126e-06,2.4137605568555008e-11,False
40,A,89.99998418290141,1.5352718790891975e-11,False,Bulk ,-5.067239294044741e-06,-2.228086667866387e-11,False
