,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,130.00001703252684,5.007710759501003e-07,False,Bulk ,-1.7260719204891667e-05,-5.006761402446214e-07,False
1,A,129.00002525020474,3.617378826916276e-07,False,Bulk ,-1.0241078247041034e-05,-3.61819798581697e-07,False
2,A,128.00001492651128,2.6179669854260726e-07,False,Bulk ,8.337337820763305e-07,-2.6176249167485176e-07,False
3,A,126.99998606144645,1.8957447516655162e-07,False,Bulk ,1.4201814968739339e-05,-1.8973556720180498e-07,False
4,A,125.99997573775299,1.3717142691333687e-07,False,Bulk ,7.881341436970224e-06,-1.3716992762053467e-07,False
5,A,124.9999839554309,9.894434822919254e-08,False,Bulk ,6.510973281851316e-06,-9.910442850855436e-08,False
6,A,124.00001071448018,7.110627693886283e-08,False,Bulk ,1.7566347845030666e-06,-7.108815729031904e-08,False
7,A,122.99998184941535,5.083573564495448e-08,False,Bulk ,-2.6061699542404004e-06,-5.090701473093269e-08,False
8,A,121.99999006709325,3.610583948039078e-08,False,Bulk ,-3.2214372891912688e-06,-3.604381991737308e-08,False
9,A,121.00000755545685,2.549415810884953e-08,False,Bulk ,-7.975775786540386e-06,-2.55404336911613e-08,False
10,A,119.99997869039201,1.7844567234938286e-08,False,Bulk ,-3.4451708655373545e-06,-1.7765463372344738e-08,False
11,A,119.00000544944129,1.2378146764835825e-08,False,Bulk ,-4.004504806401701e-06,-1.241440378298163e-08,False
12,A,117.99999512574783,8.50072328612866e-09,False,Bulk ,-1.9909026192886647e-06,-8.429161321020707e-09,False
13,A,116.99999407274004,5.780991346463469e-09,False,Bulk ,2.3439354224106743e-06,-5.866799761677875e-09,False
14,A,115.99999301973227,3.883811563822688e-09,False,Bulk ,7.769474648798048e-06,-3.853599674667811e-09,False
15,A,115.00000123741019,2.581745539785119e-09,False,Bulk ,-5.646010700841031e-07,-2.669804849771061e-09,False
16,A,113.99997237234533,1.7040264062969141e-09,False,Bulk ,1.4490011170280662e-06,-1.6726741746044599e-09,False
17,A,113.00002694345167,1.1183161095909412e-09,False,Bulk ,6.659335998176336e-07,-1.2388780786301144e-09,False
18,A,112.00000734907253,7.172898045467261e-10,False,Bulk ,-1.8510691340732285e-06,-6.593898710958309e-10,False
19,A,111.00002483743613,4.712952413149778e-10,False,Bulk ,-1.0688545399733206e-05,-5.05218651938734e-10,False
20,A,110.00001451374266,3.08552660746777e-10,False,Bulk ,-5.542673143779306e-06,-2.0046590881165704e-10,False
21,A,108.99997637799213,1.8060288919835552e-10,False,Bulk ,-1.5993688606838821e-06,-2.2522242734350578e-10,False
22,A,107.99998459567004,1.1170685836459061e-10,False,Bulk ,-6.1299737816869135e-06,-1.3430411303528689e-11,False
23,A,106.99996500129087,6.801210541542564e-11,False,Bulk ,5.820335086878514e-07,-1.16788876174003e-10,False
24,A,106.00000103102586,3.0899775794326133e-11,False,Bulk ,1.7007013904174126e-06,2.228086667866718e-11,False
25,A,105.00000924870376,3.880495276260565e-12,False,Bulk ,1.0985644808768694e-05,-1.2031668006479218e-10,False
26,A,103.99998038363893,1.8173757360063363e-11,False,Bulk ,7.797441345840442e-06,2.314734482728172e-11,False
27,A,102.99998860131684,-7.529038492387789e-12,False,Bulk ,1.0659965895328666e-07,-8.107759819181043e-11,False
28,A,101.99999681899475,5.6420771383427744e-14,False,Bulk ,6.846573646370445e-06,1.6648758712669356e-11,False
29,A,101.00001430735834,-1.316484665624343e-13,False,Bulk ,6.231306311419577e-06,-9.605529190357842e-11,False
30,A,99.99994835955076,3.817805530277508e-12,False,Bulk ,-2.9697370158027897e-06,5.0070058730670125e-11,False
31,A,98.99999365997141,5.25966968785473e-12,False,Bulk ,-2.7180367424134433e-06,-7.352686003959375e-11,False
32,A,97.99999260696364,9.083744192731867e-12,False,Bulk ,-3.305337380321051e-06,5.6754318734265646e-11,False
33,A,97.00001009532723,4.8835312119663144e-12,False,Bulk ,-2.913803621715401e-06,-6.362425262685425e-11,False
34,A,95.99999977163377,-1.0851595029413706e-11,False,Bulk ,-2.1307361045058357e-06,1.008209217209617e-10,False
35,A,95.00000798931167,-3.328825511622237e-12,False,Bulk ,2.3159687253674135e-06,-8.893779282566901e-11,False
36,A,94.00002547767527,-1.8625123531130785e-11,False,Bulk ,8.608475560093268e-06,5.477379725171907e-11,False
37,A,93.00001515398179,-2.5702795852523944e-13,False,Bulk ,-2.214636195635618e-06,-8.485296726791712e-11,False
38,A,92.00001410097403,-5.146828145087874e-12,False,Bulk ,2.5956356958000207e-06,5.929186188378486e-11,False
39,A,91.00003158933761,-3.0153767817135697e-12,False,Bulk ,1.812568178589588e-06,-1.1975965839782285e-10,False
40,A,89.99997491221572,4.131254260186175e-12,False,Bulk ,8.057670850330698e-07,5.508325373336759e-11,False
