,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,103.62195890406274,9.999436323363907e-07,True,Bulk ,0.1039393149952116,-9.99977922362947e-07,True
1,A,103.8735375015529,9.999473310314035e-07,True,Bulk ,0.10347923486215345,-9.999794696453554e-07,True
2,A,104.12368841344725,9.999500893802268e-07,True,Bulk ,0.10667879280408096,-9.999807693625781e-07,True
3,A,104.36597778387899,9.999517193136225e-07,True,Bulk ,0.1072475515218491,-9.999738994286855e-07,True
4,A,104.60393774409484,9.999480206186094e-07,True,Bulk ,0.10823217502465002,-9.999834925796168e-07,True
5,A,104.83731798558128,9.999555433881272e-07,True,Bulk ,0.10894954877050586,-9.9998225475369e-07,True
6,A,105.06794483341866,9.999477071698795e-07,True,Bulk ,0.11180128490130675,-9.999867728183222e-07,True
7,A,105.29234178047433,9.999512177956544e-07,True,Bulk ,0.11221096904629299,-9.99989743600546e-07,True
8,A,105.51432834925134,9.999510924161625e-07,True,Bulk ,0.11446500092788603,-9.999925906001772e-07,True
9,A,105.73094719101555,9.999542895932075e-07,True,Bulk ,0.11508465903427283,-9.999906719699909e-07,True
10,A,105.94548012850017,9.999478325493714e-07,True,Bulk ,0.1166884652096108,-9.999958089475863e-07,True
11,A,106.15488637679984,9.999554180086353e-07,True,Bulk ,0.1173409841850234,-9.999896817092498e-07,True
12,A,106.36275369127544,9.999552926291432e-07,True,Bulk ,0.11962488449905859,-9.999919716872139e-07,True
13,A,106.56543869245196,9.999586778754262e-07,True,Bulk ,0.11983692799604036,-9.9998411149258e-07,True
14,A,106.76607487209166,9.999615616037415e-07,True,Bulk ,0.12159866210958144,-9.999890009049902e-07,True
15,A,106.96267830345748,9.999646960910406e-07,True,Bulk ,0.12172286221115042,-9.99985225535914e-07,True
16,A,107.15798383882709,9.999585524959344e-07,True,Bulk ,0.12363290371911174,-9.999941378825854e-07,True
17,A,107.34929370866558,9.99959430152378e-07,True,Bulk ,0.12440243535495321,-9.999888771223975e-07,True
18,A,107.53938911867905,9.999559195266032e-07,True,Bulk ,0.12669279597600538,-9.999952519259194e-07,True
19,A,107.72430221539348,9.999513431751465e-07,True,Bulk ,0.12666217244274305,-9.999928381653625e-07,True
20,A,107.86906397239716,9.99380741107222e-07,True,Bulk ,0.09059794200422498,-9.999517423445997e-07,True
21,A,107.93698101574067,9.907276754693835e-07,True,Bulk ,0.008530983965634032,-9.902928628568056e-07,True
22,A,107.83462337506968,9.132261605149804e-07,True,Bulk ,-1.902262111861449e-05,-9.133825294294624e-07,False
23,A,106.99976104620578,6.753686636218954e-07,True,Bulk ,-1.1239350109493174e-06,-6.754351277779908e-07,False
24,A,105.99999176034018,4.781951819374651e-07,False,Bulk ,-2.1307361045058357e-06,-4.783171048586919e-07,False
25,A,104.9999999780181,3.391043768024353e-07,False,Bulk ,-1.1239350109493174e-06,-3.3907753228889444e-07,False
26,A,103.99998965432461,2.397694651868029e-07,False,Bulk ,3.2388697277941497e-06,-2.3984040884100933e-07,False
27,A,103.00000714268822,1.6862807572121576e-07,False,Bulk ,-8.442680405167102e-07,-1.6853903603483478e-07,False
28,A,101.99998754830905,1.1761836976218779e-07,False,Bulk ,-1.9909026192886647e-06,-1.1766080075669537e-07,False
29,A,100.99999576598697,8.140733061906531e-08,False,Bulk ,-3.5011042596230085e-06,-8.12568353859802e-08,False
30,A,100.00002252503624,5.56982657920163e-08,False,Bulk ,4.888904853344797e-06,-5.576275827576979e-08,False
31,A,99.00003074271416,3.7730569626995586e-08,False,Bulk ,6.8186069493280516e-06,-3.769545105122547e-08,False
32,A,98.00001114833502,2.5249291961045448e-08,False,Bulk ,5.532138885338926e-06,-2.534819932476148e-08,False
33,A,96.99999155395585,1.6687439903610146e-08,False,Bulk ,5.28043861194958e-06,-1.671522996492732e-08,False
34,A,96.00001831300514,1.0858045804274292e-08,False,Bulk ,8.972042621655657e-06,-1.1044873177799677e-08,False
35,A,95.00005434274011,7.073215080381932e-09,False,Bulk ,3.1829363337076283e-06,-7.077579191774338e-09,False
36,A,93.99999766561821,4.511022472368472e-09,False,Bulk ,-9.002014346032317e-07,-4.634172703977049e-09,False
37,A,92.99998734192475,2.857016214390268e-09,False,Bulk ,-2.354469680851054e-06,-2.819953134666734e-09,False
38,A,91.9999584768599,1.8069629691986782e-09,False,Bulk ,-9.79361109434973e-06,-1.811063113197502e-09,False
39,A,90.99998523590918,1.135493099989895e-09,False,Bulk ,-9.458010729830602e-06,-9.9347908868315e-10,False
40,A,90.00000272427278,6.893928675849176e-10,False,Bulk ,-6.205344641714919e-07,-7.227046672410366e-10,False
