,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,A,130.00000776184115,5.905061813840803e-07,False,Bulk ,-2.2546424946061003e-05,-5.904599870911194e-07,False
1,A,129.00001597951908,4.342375081936518e-07,False,Bulk ,-1.3736915377444286e-05,-4.3432885625315166e-07,False
2,A,128.00004273856834,3.2020216459406707e-07,False,Bulk ,-7.891875695410604e-06,-3.2014195206814184e-07,False
3,A,126.99999533213214,2.363306191709829e-07,False,Bulk ,-2.5222698631106183e-06,-2.3640005735193445e-07,False
4,A,125.99998500843867,1.7432876777205142e-07,False,Bulk ,2.679535786929803e-06,-1.7427109844440306e-07,False
5,A,124.99999322611657,1.2825387323720204e-07,False,Bulk ,-9.281681316464924e-07,-1.2831903900632388e-07,False
6,A,124.00000144379449,9.406558143792148e-08,False,Bulk ,5.2610011460133e-07,-9.400681377766107e-08,False
7,A,123.00000039078672,6.869811303672613e-08,False,Bulk ,-9.002014346032317e-07,-6.873022268275296e-08,False
8,A,122.0000178791503,4.987695866991208e-08,False,Bulk ,6.379669027735055e-07,-4.984854978110343e-08,False
9,A,120.99999828477117,3.60353135161615e-08,False,Bulk ,1.7566347845030666e-06,-3.6078107695539693e-08,False
10,A,119.99998796107771,2.5837760606574613e-08,False,Bulk ,-8.722347375608383e-07,-2.5803843048340194e-08,False
11,A,118.99997763738422,1.838733505564687e-08,False,Bulk ,1.3091676318108952e-06,-1.8476965714950116e-08,False
12,A,117.99996731369076,1.3017582173848017e-08,False,Bulk ,3.043102848492192e-06,-1.2964493624759343e-08,False
13,A,116.99999407274004,9.117088868619628e-09,False,Bulk ,4.7016672051480857e-07,-9.19395206976589e-09,False
14,A,115.99994666630383,6.350402309214229e-09,False,Bulk ,2.260035331280892e-06,-6.2921786413513925e-09,False
15,A,114.99997342535312,4.364516536009501e-09,False,Bulk ,1.4210344199848055e-06,-4.431973838868163e-09,False
16,A,114.00000945508809,2.9893542681573977e-09,False,Bulk ,-6.157940478730174e-06,-2.912047383605216e-09,False
17,A,112.99997131933756,2.006567120404053e-09,False,Bulk ,1.8964682697193702e-06,-2.0680357755581105e-09,False
18,A,112.00003516112959,1.351396585150484e-09,False,Bulk ,-6.485011612138852e-07,-1.2798501168003285e-09,False
19,A,111.00000629606475,8.876805341246812e-10,False,Bulk ,2.3719021194548023e-06,-9.545494632918135e-10,False
20,A,109.99998670168559,5.624461319722052e-10,False,Bulk ,2.1481685431078493e-06,-5.083132167552159e-10,False
21,A,108.9999949193635,3.7575606843903907e-10,False,Bulk ,9.73567267292634e-07,-4.414087254228899e-10,False
22,A,108.00003094909847,2.1771521881945502e-10,False,Bulk ,5.820335086878514e-07,-2.0151806084926136e-10,False
23,A,106.99998354266228,1.6649769635249858e-10,False,Bulk ,5.28043861194958e-06,-2.331445132736987e-10,False
24,A,106.00001957239724,1.0788278385971347e-10,False,Bulk ,-4.527342819119276e-07,-4.307634224541946e-11,False
25,A,104.99997216596103,5.603836393294301e-11,False,Bulk ,3.518536698226757e-06,-1.2916713543992736e-10,False
26,A,104.00001746638168,3.729412988444905e-11,False,Bulk ,-2.0103400852344855e-07,2.3766257790575457e-11,False
27,A,103.00000714268822,3.3093916903680186e-11,False,Bulk ,-1.4036019813810571e-06,-7.38982078175733e-11,False
28,A,102.0000339017375,3.1652052746102964e-11,False,Bulk ,5.820335086878514e-07,3.47829085372503e-11,False
29,A,100.99998649530129,1.3785475141351948e-11,False,Bulk ,2.5956356958000207e-06,-6.684260003599492e-11,False
30,A,99.9999947129792,-1.1346844022648753e-12,False,Bulk ,-3.6968711389258335e-06,4.4314168172013555e-11,False
31,A,99.0000029306571,8.7702954628232e-12,False,Bulk ,1.2532342377252412e-06,-6.529531762775561e-11,False
32,A,97.99999260696364,-1.0350077061559176e-11,False,Bulk ,-1.1239350109493174e-06,5.242192799119294e-11,False
33,A,97.00001009532723,-4.896069161162264e-12,False,Bulk ,3.6304034863997997e-06,-7.055607781577389e-11,False
34,A,96.0000368543765,-3.0153767817135697e-12,False,Bulk ,1.1134007525089376e-06,5.0503297804977395e-11,False
35,A,95.00000798931167,6.576154353469147e-12,False,Bulk ,-2.849340996523633e-07,-7.129877337172637e-11,False
36,A,94.00003474836096,-2.137720337970625e-12,False,Bulk ,1.0574673584224162e-06,6.201507892228723e-11,False
37,A,93.00001515398179,1.0525608350309089e-11,False,Bulk ,-7.324012523436674e-07,-6.380992651584072e-11,False
38,A,91.99998628891696,1.554078802883453e-11,False,Bulk ,-4.527342819119276e-07,4.771818947014069e-11,False
39,A,91.00003158933761,7.140362067303424e-12,False,Bulk ,-2.382436377895182e-06,-7.173201244603364e-11,False
40,A,89.99997491221572,-8.839254183392651e-13,False,Bulk ,-1.4510061443605976e-07,5.2855167065500214e-11,False
