,shot_x,shot_y,dut,r,c,cap,D,Voltage,Current
0,-1,-1,POC22_Main_381_77F,1,1,5.41E-11,2.73E-02,99.99998544,4.82E-12
1,-1,-1,POC22_Main_508_44,1,1,3.60E-11,1.47E-02,99.9999669,5.76E-12
2,-1,-1,POC22_Main_508_47,1,1,5.78E-11,1.33E-02,99.99994836,7.14E-12
3,-1,-1,POC22_Main_508_88F,1,1,1.27E-10,1.93E-02,100.0000133,-2.70E-12
4,-1,-1,POC22_Main_508_88F,1,2,1.27E-10,1.42E-02,100.0000225,3.84E-10
5,-1,-1,POC22_Main_508_88F,1,3,1.27E-10,1.36E-02,100.0000225,1.98E-10
6,-1,-1,POC22_Main_508_88F,1,4,1.27E-10,1.67E-02,100.000004,3.45E-10
7,-1,-1,POC22_Main_762_77,1,1,2.24E-10,5.15E-02,100.0000503,1.82E-09
8,-1,-1,POC22_Main_762_99F,1,1,3.61E-10,9.13E-02,100.0000133,2.60E-08
9,-1,-2,POC22_Main_381_77F,1,1,5.36E-11,1.08E-02,100.000004,4.19E-12
10,-1,-2,POC22_Main_508_44,1,1,3.56E-11,7.54E-03,99.99998544,2.06E-12
11,-1,-2,POC22_Main_508_47,1,1,5.72E-11,1.72E-02,100.000004,-1.39E-12
12,-1,-2,POC22_Main_508_88F,1,1,1.26E-10,1.71E-02,99.9999669,2.54E-11
13,-1,-2,POC22_Main_508_88F,1,2,1.26E-10,1.35E-02,99.99999471,3.15E-10
14,-1,-2,POC22_Main_508_88F,1,3,1.25E-10,1.25E-02,100.0000318,1.77E-10
15,-1,-2,POC22_Main_508_88F,1,4,1.25E-10,1.47E-02,99.99999471,2.44E-10
16,-1,-2,POC22_Main_762_77,1,1,2.22E-10,3.84E-02,100.000004,1.02E-09
17,-1,-2,POC22_Main_762_99F,1,1,3.60E-10,5.89E-02,99.9999669,2.09E-08
18,-1,-3,POC22_Main_381_77F,1,1,5.28E-11,1.47E-02,99.9999669,4.95E-13
19,-1,-3,POC22_Main_508_44,1,1,3.52E-11,7.06E-03,99.99997617,1.17E-11
20,-1,-3,POC22_Main_508_47,1,1,5.66E-11,8.62E-03,99.9999669,-4.14E-12
21,-1,-3,POC22_Main_508_88F,1,1,1.23E-10,1.97E-02,99.9999669,-2.69E-11
22,-1,-3,POC22_Main_508_88F,1,2,1.23E-10,1.26E-02,99.99999471,2.10E-10
23,-1,-3,POC22_Main_508_88F,1,3,1.23E-10,1.24E-02,99.99998544,1.04E-10
24,-1,-3,POC22_Main_508_88F,1,4,1.23E-10,1.21E-02,99.99997617,1.90E-10
25,-1,-3,POC22_Main_762_77,1,1,2.19E-10,5.08E-02,100.000004,4.34E-10
26,-1,-3,POC22_Main_762_99F,1,1,3.45E-10,1.80E-01,100.0000411,7.74E-09
27,-1,0,POC22_Main_381_77F,1,1,5.43E-11,8.13E-03,99.99999471,-1.69E-11
28,-1,0,POC22_Main_508_44,1,1,3.62E-11,7.73E-03,100.000004,-2.16E-11
29,-1,0,POC22_Main_508_47,1,1,5.83E-11,9.28E-03,100.000004,8.02E-12
30,-1,0,POC22_Main_508_88F,1,1,1.28E-10,1.93E-02,99.99997617,1.76E-11
31,-1,0,POC22_Main_508_88F,1,2,1.27E-10,2.74E-02,99.99998544,3.39E-10
32,-1,0,POC22_Main_508_88F,1,3,1.27E-10,1.72E-02,99.99998544,1.63E-10
33,-1,0,POC22_Main_508_88F,1,4,1.27E-10,2.15E-02,99.99998544,2.98E-10
34,-1,0,POC22_Main_762_77,1,1,2.25E-10,2.25E-02,99.99999471,1.51E-09
35,-1,0,POC22_Main_762_99F,1,1,3.64E-10,4.25E-02,100.000004,2.46E-08
36,-1,1,POC22_Main_381_77F,1,1,5.42E-11,9.34E-03,99.99998544,1.90E-11
37,-1,1,POC22_Main_508_44,1,1,3.62E-11,7.85E-03,99.99998544,1.30E-11
38,-1,1,POC22_Main_508_47,1,1,5.84E-11,1.02E-02,99.99998544,2.56E-12
39,-1,1,POC22_Main_508_88F,1,1,1.27E-10,2.41E-02,100.0000318,5.87E-11
40,-1,1,POC22_Main_508_88F,1,2,1.27E-10,1.98E-02,100.0000225,2.71E-10
41,-1,1,POC22_Main_508_88F,1,3,1.27E-10,1.98E-02,99.99998544,1.39E-10
42,-1,1,POC22_Main_508_88F,1,4,1.27E-10,1.63E-02,99.99999471,2.35E-10
43,-1,1,POC22_Main_762_77,1,1,2.23E-10,5.35E-02,99.99999471,1.05E-09
44,-1,1,POC22_Main_762_99F,1,1,3.62E-10,3.81E-02,100.000004,1.08E-08
45,-1,2,POC22_Main_381_77F,1,1,5.35E-11,9.04E-03,100.0000133,1.37E-11
46,-1,2,POC22_Main_508_44,1,1,3.59E-11,1.38E-02,99.99999471,1.12E-11
47,-1,2,POC22_Main_508_47,1,1,5.79E-11,1.21E-02,100.0000133,9.02E-12
48,-1,2,POC22_Main_508_88F,1,1,1.26E-10,1.91E-02,100.000004,-2.07E-11
49,-1,2,POC22_Main_508_88F,1,2,1.26E-10,1.73E-02,100.0000225,1.36E-10
50,-1,2,POC22_Main_508_88F,1,3,1.26E-10,1.74E-02,99.9999669,7.56E-11
51,-1,2,POC22_Main_508_88F,1,4,1.26E-10,1.73E-02,100.0000225,1.52E-10
52,-1,2,POC22_Main_762_77,1,1,2.21E-10,2.59E-02,100.000004,1.27E-10
53,-1,2,POC22_Main_762_99F,1,1,3.58E-10,4.12E-02,100.0000133,1.28E-09
54,-1,3,POC22_Main_381_77F,1,1,5.33E-11,1.02E-02,99.99999471,1.25E-12
55,-1,3,POC22_Main_508_44,1,1,3.55E-11,9.66E-03,100.0000133,1.06E-12
56,-1,3,POC22_Main_508_47,1,1,5.73E-11,9.79E-03,100.0000133,-1.30E-11
57,-1,3,POC22_Main_508_88F,1,1,1.25E-10,1.74E-02,100.000004,1.62E-11
58,-1,3,POC22_Main_508_88F,1,2,1.25E-10,1.89E-02,99.99999471,1.23E-10
59,-1,3,POC22_Main_508_88F,1,3,1.25E-10,1.98E-02,99.99999471,1.01E-10
60,-1,3,POC22_Main_508_88F,1,4,1.25E-10,1.69E-02,100.0000133,1.29E-10
61,-1,3,POC22_Main_762_77,1,1,2.21E-10,2.32E-02,99.99999471,4.07E-11
62,-1,3,POC22_Main_762_99F,1,1,3.58E-10,4.64E-02,99.99997617,3.83E-10
63,-2,-1,POC22_Main_381_77F,1,1,5.35E-11,1.97E-02,100.0000133,1.27E-11
64,-2,-1,POC22_Main_508_44,1,1,3.55E-11,3.99E-02,100.0000133,2.44E-13
65,-2,-1,POC22_Main_508_47,1,1,5.72E-11,7.09E-03,99.9999669,-6.02E-12
66,-2,-1,POC22_Main_508_88F,1,1,1.25E-10,1.39E-02,100.0000133,-3.96E-11
67,-2,-1,POC22_Main_508_88F,1,2,1.25E-10,1.35E-02,99.99995763,2.10E-11
68,-2,-1,POC22_Main_508_88F,1,3,1.25E-10,1.33E-02,100.000004,7.74E-11
69,-2,-1,POC22_Main_508_88F,1,4,1.25E-10,1.52E-02,99.99999471,1.32E-10
70,-2,-1,POC22_Main_762_77,1,1,2.21E-10,3.79E-02,100.0000318,5.39E-12
71,-2,-1,POC22_Main_762_99F,1,1,3.60E-10,3.49E-02,99.99998544,1.34E-10
72,-2,-2,POC22_Main_381_77F,1,1,5.29E-11,1.76E-02,99.99998544,-2.64E-12
73,-2,-2,POC22_Main_508_44,1,1,3.52E-11,1.23E-02,99.9999669,2.06E-12
74,-2,-2,POC22_Main_508_47,1,1,5.65E-11,1.36E-02,100.0000225,-2.32E-11
75,-2,-2,POC22_Main_508_88F,1,1,1.24E-10,1.62E-02,100.0000133,-8.59E-12
76,-2,-2,POC22_Main_508_88F,1,2,1.24E-10,1.39E-02,100.0000133,1.27E-10
77,-2,-2,POC22_Main_508_88F,1,3,1.24E-10,1.58E-02,100.0000133,5.59E-11
78,-2,-2,POC22_Main_508_88F,1,4,1.24E-10,1.55E-02,100.0000318,1.11E-10
79,-2,-2,POC22_Main_762_77,1,1,2.17E-10,1.21E-01,99.99998544,7.60E-11
80,-2,-2,POC22_Main_762_99F,1,1,3.54E-10,9.44E-02,99.99997617,1.71E-09
81,-2,-3,POC22_Main_381_77F,1,1,5.26E-11,1.56E-02,100.0000225,1.01E-11
82,-2,-3,POC22_Main_508_44,1,1,3.55E-11,1.02E-02,99.99998544,2.23E-11
83,-2,-3,POC22_Main_508_47,1,1,5.72E-11,1.25E-02,100.000004,1.43E-11
84,-2,-3,POC22_Main_508_88F,1,1,1.24E-10,1.58E-02,99.99998544,6.00E-11
85,-2,-3,POC22_Main_508_88F,1,2,1.24E-10,1.67E-02,99.99994836,1.66E-10
86,-2,-3,POC22_Main_508_88F,1,3,1.24E-10,1.57E-02,100.000004,9.25E-11
87,-2,-3,POC22_Main_508_88F,1,4,1.24E-10,1.41E-02,99.99999471,1.42E-10
88,-2,-3,POC22_Main_762_77,1,1,2.18E-10,5.23E-02,99.99997617,1.21E-10
89,-2,-3,POC22_Main_762_99F,1,1,3.52E-10,5.38E-02,99.99995763,1.68E-09
90,-2,0,POC22_Main_381_77F,1,1,-2.99E-11,3.39E+01,0.65126633,1.00E-06
91,-2,0,POC22_Main_508_44,1,1,3.58E-11,7.24E-03,99.99997617,4.76E-12
92,-2,0,POC22_Main_508_47,1,1,5.76E-11,1.28E-02,100.0000133,-6.53E-12
93,-2,0,POC22_Main_508_88F,1,1,1.26E-10,1.77E-02,100.000004,-2.01E-11
94,-2,0,POC22_Main_508_88F,1,2,1.26E-10,2.94E-02,99.99999471,1.69E-10
95,-2,0,POC22_Main_508_88F,1,3,1.26E-10,2.08E-02,100.000004,8.14E-11
96,-2,0,POC22_Main_508_88F,1,4,1.26E-10,2.48E-02,99.99999471,1.81E-10
97,-2,0,POC22_Main_762_77,1,1,2.23E-10,3.26E-02,100.0000133,1.22E-10
98,-2,0,POC22_Main_762_99F,1,1,3.61E-10,3.55E-02,99.99999471,2.37E-09
99,-2,1,POC22_Main_381_77F,1,1,5.37E-11,1.39E-02,100.000004,-5.65E-12
100,-2,1,POC22_Main_508_44,1,1,3.59E-11,8.02E-03,100.000004,-5.70E-13
