prefix,cap,D
-1_-1_POC22_Main_381_77F_1_1,+5.40843E-11,+2.73459E-02
-1_-1_POC22_Main_508_44_1_1,+3.59883E-11,+1.47152E-02
-1_-1_POC22_Main_508_47_1_1,+5.77846E-11,+1.32741E-02
-1_-1_POC22_Main_508_88F_1_1,+1.25704E-10,+2.24491E-02
-1_-1_POC22_Main_762_77_1_1,+2.23785E-10,+5.14660E-02
-1_-1_POC22_Main_762_99F_1_1,+3.61207E-10,+9.12623E-02
-1_-2_POC22_Main_381_77F_1_1,+5.36120E-11,+1.07661E-02
-1_-2_POC22_Main_508_44_1_1,+3.55976E-11,+7.53555E-03
-1_-2_POC22_Main_508_47_1_1,+5.72377E-11,+1.72424E-02
-1_-2_POC22_Main_508_88F_1_1,+1.24320E-10,+1.94658E-02
-1_-2_POC22_Main_762_77_1_1,+2.22012E-10,+3.83988E-02
-1_-2_POC22_Main_762_99F_1_1,+3.60377E-10,+5.88588E-02
-1_-3_POC22_Main_381_77F_1_1,+5.28001E-11,+1.46714E-02
-1_-3_POC22_Main_508_44_1_1,+3.51968E-11,+7.06138E-03
-1_-3_POC22_Main_508_47_1_1,+5.66144E-11,+8.62369E-03
-1_-3_POC22_Main_508_88F_1_1,+1.21773E-10,+5.77134E-02
-1_-3_POC22_Main_762_77_1_1,+2.18541E-10,+5.08017E-02
-1_-3_POC22_Main_762_99F_1_1,+3.45285E-10,+1.80432E-01
-1_0_POC22_Main_381_77F_1_1,+5.43229E-11,+8.13071E-03
-1_0_POC22_Main_508_44_1_1,+3.61503E-11,+7.72725E-03
-1_0_POC22_Main_508_47_1_1,+5.82938E-11,+9.28268E-03
-1_0_POC22_Main_508_88F_1_1,+1.26223E-10,+1.71248E-02
-1_0_POC22_Main_762_77_1_1,+2.24879E-10,+2.25179E-02
-1_0_POC22_Main_762_99F_1_1,+3.63994E-10,+4.24781E-02
-1_1_POC22_Main_381_77F_1_1,+5.42402E-11,+9.33661E-03
-1_1_POC22_Main_508_44_1_1,+3.61610E-11,+7.84691E-03
-1_1_POC22_Main_508_47_1_1,+5.83667E-11,+1.01668E-02
-1_1_POC22_Main_508_88F_1_1,+1.25865E-10,+1.78699E-02
-1_1_POC22_Main_762_77_1_1,+2.23446E-10,+5.35011E-02
-1_1_POC22_Main_762_99F_1_1,+3.61898E-10,+3.81465E-02
-1_2_POC22_Main_381_77F_1_1,+5.35123E-11,+9.04286E-03
-1_2_POC22_Main_508_44_1_1,+3.58557E-11,+1.37556E-02
-1_2_POC22_Main_508_47_1_1,+5.79075E-11,+1.20859E-02
-1_2_POC22_Main_508_88F_1_1,+1.24679E-10,+1.69866E-02
-1_2_POC22_Main_762_77_1_1,+2.21372E-10,+2.59378E-02
-1_2_POC22_Main_762_99F_1_1,+3.57606E-10,+4.12260E-02
-1_3_POC22_Main_381_77F_1_1,+5.32625E-11,+1.01532E-02
-1_3_POC22_Main_508_44_1_1,+3.54951E-11,+9.65900E-03
-1_3_POC22_Main_508_47_1_1,+5.73384E-11,+9.78774E-03
-1_3_POC22_Main_508_88F_1_1,+1.23516E-10,+2.03688E-02
-1_3_POC22_Main_762_77_1_1,+2.20621E-10,+2.32006E-02
-1_3_POC22_Main_762_99F_1_1,+3.57950E-10,+4.64012E-02
-2_-1_POC22_Main_381_77F_1_1,+5.34951E-11,+1.96747E-02
-2_-1_POC22_Main_508_44_1_1,+3.55451E-11,+3.99189E-02
-2_-1_POC22_Main_508_47_1_1,+5.72102E-11,+7.08789E-03
-2_-1_POC22_Main_508_88F_1_1,+1.24125E-10,+9.77292E-03
-2_-1_POC22_Main_762_77_1_1,+2.21443E-10,+3.78797E-02
-2_-1_POC22_Main_762_99F_1_1,+3.59676E-10,+3.48640E-02
-2_-2_POC22_Main_381_77F_1_1,+5.28863E-11,+1.76163E-02
-2_-2_POC22_Main_508_44_1_1,+3.52370E-11,+1.23140E-02
-2_-2_POC22_Main_508_47_1_1,+5.65346E-11,+1.36274E-02
-2_-2_POC22_Main_508_88F_1_1,+1.22914E-10,+1.89532E-02
-2_-2_POC22_Main_762_77_1_1,+2.16670E-10,+1.20692E-01
-2_-2_POC22_Main_762_99F_1_1,+3.54015E-10,+9.43502E-02
-2_-3_POC22_Main_381_77F_1_1,+5.26311E-11,+1.55744E-02
-2_-3_POC22_Main_508_44_1_1,+3.55305E-11,+1.02055E-02
-2_-3_POC22_Main_508_47_1_1,+5.72401E-11,+1.24516E-02
-2_-3_POC22_Main_508_88F_1_1,+1.22461E-10,+4.39717E-02
-2_-3_POC22_Main_762_77_1_1,+2.17710E-10,+5.22629E-02
-2_-3_POC22_Main_762_99F_1_1,+3.51865E-10,+5.38225E-02
-2_0_POC22_Main_381_77F_1_1,-2.98568E-11,+3.39328E+01
-2_0_POC22_Main_508_44_1_1,+3.58041E-11,+7.24491E-03
-2_0_POC22_Main_508_47_1_1,+5.76445E-11,+1.27769E-02
-2_0_POC22_Main_508_88F_1_1,+1.24954E-10,+1.30217E-02
-2_0_POC22_Main_762_77_1_1,+2.22784E-10,+3.26344E-02
-2_0_POC22_Main_762_99F_1_1,+3.61122E-10,+3.54500E-02
-2_1_POC22_Main_381_77F_1_1,+5.36621E-11,+1.39464E-02
-2_1_POC22_Main_508_44_1_1,+3.58968E-11,+8.02186E-03
-2_1_POC22_Main_508_47_1_1,+5.78828E-11,+1.35863E-02
-2_1_POC22_Main_508_88F_1_1,+1.24969E-10,+1.37708E-02
-2_1_POC22_Main_762_77_1_1,+2.22194E-10,+2.54901E-02
-2_1_POC22_Main_762_99F_1_1,+3.59954E-10,+3.59483E-02
-2_2_POC22_Main_381_77F_1_1,+5.31833E-11,+1.91847E-02
-2_2_POC22_Main_508_44_1_1,+3.56614E-11,+1.24654E-02
-2_2_POC22_Main_508_47_1_1,+5.75707E-11,+1.19931E-02
-2_2_POC22_Main_508_88F_1_1,+1.24057E-10,+1.69592E-02
-2_2_POC22_Main_762_77_1_1,+2.20428E-10,+2.99017E-02
-2_2_POC22_Main_762_99F_1_1,+3.57051E-10,+5.48227E-02
-2_3_POC22_Main_381_77F_1_1,+5.36870E-11,+1.57436E-02
-2_3_POC22_Main_508_44_1_1,+3.56651E-11,+9.43597E-03
-2_3_POC22_Main_508_47_1_1,+5.72663E-11,+3.51525E-02
-2_3_POC22_Main_508_88F_1_1,+1.24624E-10,+1.68887E-02
-2_3_POC22_Main_762_77_1_1,+2.22442E-10,+2.94477E-02
-2_3_POC22_Main_762_99F_1_1,+3.60732E-10,+6.25707E-02
-3_-1_POC22_Main_381_77F_1_1,+5.30946E-11,+8.50481E-03
-3_-1_POC22_Main_508_44_1_1,+3.54685E-11,+7.09878E-03
-3_-1_POC22_Main_508_47_1_1,+5.70534E-11,+1.08800E-02
-3_-1_POC22_Main_508_88F_1_1,+1.23389E-10,+1.17625E-02
-3_-1_POC22_Main_762_77_1_1,+2.19692E-10,+3.27749E-02
-3_-1_POC22_Main_762_99F_1_1,+3.55813E-10,+3.65322E-02
-3_-2_POC22_Main_381_77F_1_1,+5.31910E-11,+1.04197E-02
-3_-2_POC22_Main_508_44_1_1,+3.57708E-11,+1.04779E-02
-3_-2_POC22_Main_508_47_1_1,+5.35440E-11,+2.71706E-01
-3_-2_POC22_Main_508_88F_1_1,+1.23610E-10,+4.78050E-02
-3_-2_POC22_Main_762_77_1_1,+2.20009E-10,+3.62354E-02
-3_-2_POC22_Main_762_99F_1_1,+3.55841E-10,+4.50704E-02
-3_0_POC22_Main_381_77F_1_1,+5.22754E-11,+1.03807E-02
-3_0_POC22_Main_508_44_1_1,+3.54850E-11,+6.79732E-03
-3_0_POC22_Main_508_47_1_1,+5.70516E-11,+6.90850E-03
-3_0_POC22_Main_508_88F_1_1,+1.23273E-10,+8.75950E-03
-3_0_POC22_Main_762_77_1_1,+2.19960E-10,+2.22662E-02
-3_0_POC22_Main_762_99F_1_1,+3.56545E-10,+2.58093E-02
-3_1_POC22_Main_381_77F_1_1,+5.34955E-11,+8.91183E-03
-3_1_POC22_Main_508_44_1_1,+3.56170E-11,+7.56500E-03
-3_1_POC22_Main_508_47_1_1,+5.73075E-11,+9.08703E-03
-3_1_POC22_Main_508_88F_1_1,+1.24017E-10,+1.49623E-02
-3_1_POC22_Main_762_77_1_1,+2.21552E-10,+3.59779E-02
-3_1_POC22_Main_762_99F_1_1,+3.59941E-10,+3.84863E-02
-3_2_POC22_Main_381_77F_1_1,+5.40249E-11,+9.69372E-03
-3_2_POC22_Main_508_44_1_1,+3.59148E-11,+1.06386E-02
-3_2_POC22_Main_508_47_1_1,+5.77001E-11,+1.39425E-02
-3_2_POC22_Main_508_88F_1_1,+1.25125E-10,+1.76447E-02
-3_2_POC22_Main_762_77_1_1,+2.24051E-10,+2.70875E-02
-3_2_POC22_Main_762_99F_1_1,+3.60718E-10,+8.83575E-02
-4_-1_POC22_Main_381_77F_1_1,+5.00202E-14,+5.60413E-03
-4_-1_POC22_Main_508_44_1_1,+2.67603E-14,-1.23489E-02
-4_-1_POC22_Main_508_47_1_1,+2.55897E-14,+2.28869E-02
